Participant;Record_Name;Track;Hazard_number;Hazard_type;Seen;First fixation time;First fixation;Second fixation;Third fixation;Fouth fixation;Fifth fixation;Sixth fixation;Seventh fixation;Cross event;Detections;Fixations;Remarks;Detection laps;Percentage of fixation during hazard
20;Recording082;1;6;6AV;YES;01:54,1;0.28;0.78;0;0;0;0;0;01:56,5;2;2;;2.4;44.167
21;Recording088;1;6;6AV;CRASH;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
21;Recording085;1;6;6AV;YES;02:00,6;1.24;0;0;0;0;0;0;02:02,5;1;1;;1.9;65.263
22;Recording092;1;6;6AV;CRASH;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
22;Recording089;1;6;6AV;YES;02:18,6;0.959;0.635;0.2;0.06;0.08;0;0;02:22,5;5;5;;3.9;49.59
23;Recording094;1;6;6AV;YES;01:59,9;0.18;0.66;0.08;0.44;0;0;0;02:02,0;4;4;;2.1;64.762
24;Recording098;1;6;6AV;YES;02:15,7;0.34;1.1;0.08;0;0;0;0;02:18,1;3;3;;2.4;63.333
25;Recording103;1;6;6AV;YES;01:51,1;0.16;0.12;0.16;0;0;0;0;01:52,6;3;3;;1.5;29.333
27;Recording108;1;6;6AV;YES;02:03,3;0.14;0;0;0;0;0;0;02:03,8;1;1;hard to see;0.5;28.0
27;Recording105;1;6;6AV;YES;02:12,0;0.58;0.48;0.18;0;0;0;0;02:14,1;3;3;;2.1;59.048
28;Recording112;1;6;6AV;YES;02:04,7;2.54;0.6;0;0;0;0;0;02:10,1;2;2;;5.4;58.148
28;Recording109;1;6;6AV;YES;01:57,9;0.2;0.4;0;0;0;0;0;01:59,8;2;2;;1.9;31.579
29;Recording114;1;6;6AV;YES;02:09,6;1.92;0;0;0;0;0;0;02:12,2;1;1;;2.6;73.846
30;Recording118;1;6;6AV;YES;02:38,9;0.34;0;0;0;0;0;0;02:40,0;1;1;;1.1;30.909
